id,year,date,time,pair,direction,outcome,profit,r,lots,slPips,entry,stopLoss,takeProfit,mambaDecision,mambaR,setup,review,source,row,batchId
122,2026,2026-06-10,21:38:00,NAS100,,loss,-309.36,-1.03,12,25,29018.32,28993.32,,,,,,TradingNote,259,live-default
123,2026,2026-06-11,21:46:00,DJ30,,loss,-293.1,-0.98,10,30,50353.09,50323.09,,,,,,TradingNote,260,live-default
124,2026,2026-06-15,21:31:00,NAS100,,win,41.4,0.14,12,25,30406.55,30381.55,30410.0,,,,,TradingNote,267,live-default
125,2026,2026-06-22,21:30:00,DJ30,,win,1046.9,3.49,10,30,51871.66,51841.66,30410.0,,,,,TradingNote,276,live-default
126,2026,2026-06-23,21:30:00,US30,,loss,-1064,-1.07,33,30,51359.42,51389.42,,,,,FTMO 10K 1step挑戰,TradingNote,277,live-default
127,2026,2026-06-25,21:31:00,US100,,be,0,0,40,25,29774.6,29799.6,,,,,,TradingNote,278,live-default
128,2026,2026-06-29,21:34:00,US30,,loss,-1130.58,-1.14,33,30,52176.78,52146.78,,,,,,TradingNote,285,live-default
129,2026,2026-06-30,21:36:00,US100,,be,0,0,40,25,29946.7,29921.7,,,,,,TradingNote,286,live-default
130,2026,2026-07-01,21:54:00,US30,,loss,-1114.08,-1.13,33,30,52281.98,52251.98,,,,,,TradingNote,287,live-default
131,2026,2026-07-02,21:47:00,US30,,loss,-701.58,-0.71,33,30,52724.38,52694.38,,,,,EA不知為啥自己設奇怪的SL，不然可以TP2,TradingNote,288,live-default
132,2026,2026-07-06,21:30:00,US30,,loss,-1262.58,-1.28,33,30,53007.58,52977.58,,,,,,TradingNote,294,live-default
133,2026,2026-07-07,21:39:00,US30,,win,1575.42,1.59,33,30,53139.62,53169.62,53091.88,,,,,TradingNote,295,live-default
134,2026,2026-07-08,21:30:00,US30,,loss,-256,-0.26,33,30,52347.62,52377.62,,,,,,TradingNote,296,live-default
135,2026,2026-07-09,21:35:00,US100,,win,1288,1.29,40,25,29592.2,29567.2,29624.4,,,,,TradingNote,297,live-default
136,2026,2026-07-13,21:30:00,US100,,loss,-1080,-1.08,40,25,29443.4,29468.4,,,,,,TradingNote,304,live-default
137,2026,2026-07-14,21:33:00,US30,,loss,-1130,-1.14,33,30,52335.02,52365.02,,,,,,TradingNote,305,live-default
138,2026,2026-07-15,21:31:00,US100,,loss,-1052,-1.05,40,25,29724.5,29749.5,,,,,"完全copy Mamba, 這筆如果是原本的我不會做",TradingNote,306,live-default
139,2026,2026-07-15,21:36:00,US30,,win,2136.42,2.16,33,30,52709.88,52679.88,52774.62,,,,,TradingNote,307,live-default
140,2026,2026-07-20,21:31:00,US100,,loss,-1080,-1.08,40,25,28900.5,28875.5,,,,,Mamba今天賺錢,TradingNote,316,live-default
141,2026,2026-07-21,21:30:00,US30,,loss,-1163.58,-1.18,33,30,52067.78,52037.78,,,,,,TradingNote,317,live-default
142,2026,2026-07-21,21:34:00,US100,,loss,-1092,-1.09,40,25,28964.5,28989.5,,,,,,TradingNote,318,live-default
143,2025,2025-10-21,21:41:00,NAS100,,win,3.49,1,,,25136.42,25160.74,25097.89、25017.97,,,,,2025 TradingNote,7,live-default
144,2025,2025-10-21,21:44:00,DJ30,,loss,-6.2,-1,,,46859.59,46792.51,46862.23、46890.94,,,,,2025 TradingNote,8,live-default
145,2025,2025-10-21,21:46:00,DJ30,,loss,-8,-1,,,46859.59,46792.51,46862.23、46890.94,,,,,2025 TradingNote,9,live-default
146,2025,2025-10-21,21:32:00,NAS100,,loss,-3.29,-1,,,25136.42,25160.74,25097.89、25017.97,,,,,2025 TradingNote,10,live-default
147,2025,2025-10-22,21:31:00,DJ30,,win,4.1,0.5,,,46932.99,46948.22,46885.02、46810.26,,,,,2025 TradingNote,11,live-default
148,2025,2025-10-22,21:33:00,NAS100,,loss,-6,-1,,,25068.33,25087.68,25018.38、24997.85,,,,入場點設錯(要設離當下最近的)跟TP1設太遠、原本應該可以賺錢的，但紀律有守住。,2025 TradingNote,12,live-default
149,2025,2025-10-23,21:31:00,DJ30,,win,13.5,1.5,,,46618.75,46602.19,46738.02、46818.14,,,,,2025 TradingNote,13,live-default
150,2025,2025-10-23,21:33:00,NAS100,,win,10,3,,,24903.54,24886.17,24932.41、24990.56,,,,,2025 TradingNote,14,live-default
151,2025,2025-10-24,21:30:00,DJ30,,loss,-6.33,-1,,,46618.75,46602.19,46738.02、46818.14,,,,,2025 TradingNote,15,live-default
152,2025,2025-10-24,21:31:00,NAS100,,loss,-3.24,-1,,,25319.83,25326.82,25253.69、25208.36,,,,,2025 TradingNote,16,live-default
153,2025,2025-10-24,21:35:00,DJ30,,win,8,1,,,47044.41,47019.97,47116.41、47177.83,,,,Using Mamba TP，因為在高點,2025 TradingNote,17,live-default
154,2025,2025-10-24,21:35:00,NAS100,,win,4.21,1.5,,,25365.66,25341.54,,,,,Using Mamba TP，因為在高點,2025 TradingNote,18,live-default
155,2025,2025-10-27,21:32:00,DJ30,,loss,-4.53,-0.5,,,47494.05,47510.83,47349.56、47218.19,,,,,2025 TradingNote,20,live-default
156,2025,2025-10-27,21:36:00,NAS100,,loss,-4.19,-1,,,25693.37,25703.51,25653.78,,,,,2025 TradingNote,21,live-default
157,2025,2025-10-27,21:31:00,NAS100,,loss,-3.69,-1,,,25734.55,25719.3,,,,,進入還沒設TP就被SL，當下怕被止損，所以調大SL -> 沒遵守計畫,2025 TradingNote,22,live-default
158,2025,2025-10-27,21:41:00,DJ30,,loss,-9.73,1,,,47494.05,47510.83,47349.56、47218.19,,,,,2025 TradingNote,23,live-default
159,2025,2025-10-28,21:38:00,DJ30,,win,10.2,1.5,,,47842.1,47892.48,47796.85、47642.39,,,,"特意等到31分後，多次反彈後突破高點進場，然後有學習MAMBA移動到5min最近的支撐壓力，
不然原本是放在47786.63",2025 TradingNote,24,live-default
160,2025,2025-10-30,21:31:00,DJ30,,win,6.4,0.5,,,47533.45,47508.98,47603.79、47711.45,,,,稍微有點早進的感覺，TP1到了直接砍掉，應該要BE，然後砍一半,2025 TradingNote,25,live-default
161,2025,2025-10-30,21:35:00,NAS100,,win,4.06,1.5,,,25935.64,25969.4,25906.72、25865.86,,,,稍微有點早進的感覺，TP1到了直接砍掉，應該要BE，然後砍一半,2025 TradingNote,26,live-default
162,2025,2025-10-31,21:42:00,DJ30,,loss,-7.61,-1,,,47566.71,47604.12,47450.4、47335.29,,,,,2025 TradingNote,27,live-default
163,2025,2025-10-31,21:33:00,NAS100,,win,10.1,3,,,26053.65,26070.74,26015.96、25968.77,,,,,2025 TradingNote,28,live-default
164,2025,2025-10-31,21:32:00,NAS100,,loss,-2.94,-1,,,26053.65,26070.3,26015.96、25968.77,,,,,2025 TradingNote,29,live-default
165,2025,2025-11-03,21:35:00,DJ30,,loss,-1.01,0,,,47611.01,47508.98,47698.27、47737.03,,,,"支撐壓力畫錯，沒動能，主動砍掉的，因為沒動能又要22點了, 後來發現是美股換季",2025 TradingNote,35,live-default
166,2025,2025-11-03,21:33:00,NAS100,,win,1.31,0,,,26068.52,25969.4,26110.45、26155.77,,,,"沒動能，砍掉後有到TP1跟TP2, 後來發現是美股換季",2025 TradingNote,36,live-default
167,2025,2025-11-04,22:32:00,DJ30,,loss,-12.8,-1,,,47009.56,47056,46920.56、46875.46,,,,"23點 JOLTs 新聞, Maybe 需要增加一條Rule, 沒畫到最近的支撐，所以曼巴賺錢我虧",2025 TradingNote,37,live-default
168,2025,2025-11-04,22:34:00,NAS100,,loss,-12.09,-1,,,25594.2,25628.94,25432.4,,,,"23點 JOLTs 新聞, Maybe 需要增加一條Rule",2025 TradingNote,38,live-default
169,2025,2025-11-05,22:41:00,DJ30,,loss,-12.4,-1,,,47123.61,47156.12,47082.83、47021.97,,,,,2025 TradingNote,39,live-default
